# science_target table
# Used for storing generic target information for scientific targets
name           type        nullable        default_value       foreign_key_table   pk       unit    unique  description
target_id      integer     False           None                target              True     None    True    "Target id (internal)"
is_h0_target   boolean     False           None                None                False    None    None    "For H0 science"
is_vpec_target boolean     False           None                None                False    None    None    "For pec. vel. science"
is_lowz_target boolean     False           None                None                False    None    None    "For low z science"
visits         integer     False           None                None                False    None    None    "number of anticipated visits"
repeats        integer     False           None                None                False    None    None    "number of repeats so far"
priority       integer     False           None                None                False    None    None    "priority of target"
difficulty     integer     False           None                None                False    None    None    "difficulty of target"
done           boolean     False           false               None                False    None    None    "if observations of target have completed"

