# science_target table
# Used for storing observing information. Basically a copy of the information in science_target, with success and tile_pk added
name                        type        nullable        default_value       foreign_key_table   pk       unit    unique  description
target_id                   bigint      False           None                target              True     None    True    "Target id (internal)"
is_h0_target                boolean     False           None                None                False    None    None    "For H0 science"
is_vpec_target              boolean     False           None                None                False    None    None    "For pec. vel. science"
is_prisci_vpec_target       boolean     False           false               None                False    None    None    "SIM ONLY - prisci vpec target"
is_full_vpec_target         boolean     False           false               None                False    None    None    "SIM ONLY - full survey vpec target"
is_lowz_target              boolean     False           None                None                False    None    None    "For low z science"
col_gi                      float       True            0.0                 None                False    None    None    "(g-i) colour (optical)"
col_JK                      float       True            0.0                 None                False    None    None    "(J-K) colour (NIR)"
is_nir                      boolean     False           False               None                False    None    None    "Is target NIR selected?"
is_lrg                      boolean     False           False               None                False    None    None    "Is target LRG selected?"
is_iband                    boolean     False           False               None                False    None    None    "Is target i-band selected?"
zspec                       float       True            0.0                 None                False    None    None    "Spectroscopic redshift"
visits                      integer     False           0                   None                False    None    None    "number of anticipated visits"
repeats                     integer     False           0                   None                False    None    None    "number of repeats so far"
priority                    integer     False           1                   None                False    None    None    "priority of target at assignment"
difficulty                  integer     False           1                   None                False    None    None    "difficulty of target"
done                        timestamp   True            None                None                False    None    None    "Date when target was marked done"
success                     boolean     False           None                None                False    None    None    "if this observation was a 'success'"
tile_pk                     integer     False           None                tile                True     None    None    "Tile pk (internal use)"

